table,project,link,sponsors
1,parasite.AI,https://mangohacks.devpost.com/submissions/110950-parasite-ai,"Best use of Google Cloud Platform - Google Home Minis, Best Hack for Social Good - Polaroid Cameras, Best Design - Drawing Tablets, Best Use of 8Base Platform - Nintendo Switch, Best Hack for Patients, Caregivers & Physicians - Oculus Go"
2,Mediosk,https://mangohacks.devpost.com/submissions/110953-mediosk,"Best use of Google Cloud Platform - Google Home Minis, Best Design - Drawing Tablets, Best Domain Registered with Domain.com - Raspberry Pis & PiHut Essential Kits, Best Hack for Patients, Caregivers & Physicians - Oculus Go, Best Hack for Leveraging Enhanced Connectivity - Airpods"
3,MillennialParking,https://mangohacks.devpost.com/submissions/110954-millennialparking,
4,MedLingos,https://mangohacks.devpost.com/submissions/110993-medlingos,"Best use of Google Cloud Platform - Google Home Minis, Best Design - Drawing Tablets, Best Webapp using React - Super NES Classic, Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs, Best Use of 8Base Platform - Nintendo Switch, Best Hack for Patients, Caregivers & Physicians - Oculus Go"
5,VQL [Voice Query Language],https://mangohacks.devpost.com/submissions/111000-vql-voice-query-language,"Best use of Google Cloud Platform - Google Home Minis, Best Design - Drawing Tablets, Best Domain Registered with Domain.com - Raspberry Pis & PiHut Essential Kits, Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs, Best Use of 8Base Platform - Nintendo Switch, Best Hack for Leveraging Enhanced Connectivity - Airpods"
6,Hömeuch,https://mangohacks.devpost.com/submissions/111007-homeuch,"Best Hack for Social Good - Polaroid Cameras, Best Design - Drawing Tablets, Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs"
7,SnapRx,https://mangohacks.devpost.com/submissions/111011-snaprx,
8,Flash Sheild,https://mangohacks.devpost.com/submissions/111019-flash-sheild,"Best Hack for Social Good - Polaroid Cameras, Best Design - Drawing Tablets, Best Webapp using React - Super NES Classic"
9,PillEx,https://mangohacks.devpost.com/submissions/111022-pillex,"Best use of Google Cloud Platform - Google Home Minis, Best Hack for Social Good - Polaroid Cameras, Best Design - Drawing Tablets, Best Webapp using React - Super NES Classic, Best Use of 8Base Platform - Nintendo Switch, Best Hack for Patients, Caregivers & Physicians - Oculus Go, Best Hack for Leveraging Enhanced Connectivity - Airpods"
10,Starburst,https://mangohacks.devpost.com/submissions/111026-starburst,"Best use of Google Cloud Platform - Google Home Minis, Best Hack for Social Good - Polaroid Cameras, Best Design - Drawing Tablets, Best Webapp using React - Super NES Classic, Best Domain Registered with Domain.com - Raspberry Pis & PiHut Essential Kits, Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs, Best Beginner - Echo Dots, Best Hack for Leveraging Enhanced Connectivity - Airpods"
