table,project,sponsors,link
1,My MindSweeper,"Amazon Web Services - Best Use of AWS, Best Design, Express Scripts- Healthcare Solutions Prize, Best Domain Name from Domain.com",http://mangohacks2018.devpost.com/submissions/87105-my-mindsweeper
2,Pimp My Trike,"Best IoT Hack Using a Qualcomm Device, Best Hardware Hack, Amazon Web Services - Best Use of AWS, Best Design, Carnival Cruise line's Favorite , Best Domain Name from Domain.com",http://mangohacks2018.devpost.com/submissions/87142-pimp-my-trike
3,Simple Chat,,http://mangohacks2018.devpost.com/submissions/87148-simple-chat
4,Impression,"Best Hardware Hack, GE Digital -NodeJS API, JP Morgan Chase-Best Hack for Empowering Minority Entrepreneurs, Best Design, Express Scripts- Healthcare Solutions Prize, Carnival Cruise line's Favorite ",http://mangohacks2018.devpost.com/submissions/87149-impression
5,manGOmanSTAY,"Amazon Web Services - Best Use of AWS, Best Design, Express Scripts- Healthcare Solutions Prize, Carnival Cruise line's Favorite , Best Domain Name from Domain.com",http://mangohacks2018.devpost.com/submissions/87154-mangomanstay
6,Fiesta De Carnival,"Carnival Cruise line's Favorite , Best Domain Name from Domain.com",http://mangohacks2018.devpost.com/submissions/87159-fiesta-de-carnival
7,Get -IT- Done,"JP Morgan Chase-Best Hack for Empowering Minority Entrepreneurs, Express Scripts- Healthcare Solutions Prize",http://mangohacks2018.devpost.com/submissions/87185-get-it-done
8,Javier the Automated SLA Print Finisher,"Best Hardware Hack, JP Morgan Chase-Best Hack for Empowering Minority Entrepreneurs, Best Design",http://mangohacks2018.devpost.com/submissions/87204-javier-the-automated-sla-print-finisher
9,Connect Me,Best Domain Name from Domain.com,http://mangohacks2018.devpost.com/submissions/87207-connect-me
10,Hackathon Team Builder App,,http://mangohacks2018.devpost.com/submissions/87208-hackathon-team-builder-app
11,Craves,,http://mangohacks2018.devpost.com/submissions/87214-craves
12,ARnival Map,,http://mangohacks2018.devpost.com/submissions/87231-arnival-map
13,TileHack,,http://mangohacks2018.devpost.com/submissions/87236-tilehack
14,gist,Best IoT Hack Using a Qualcomm Device,http://mangohacks2018.devpost.com/submissions/87238-gist
15,ListIt,,http://mangohacks2018.devpost.com/submissions/87239-listit
16,Mango Taps,,http://mangohacks2018.devpost.com/submissions/87240-mango-taps
17,Code Listener,"Best IoT Hack Using a Qualcomm Device, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com",http://mangohacks2018.devpost.com/submissions/87241-code-listener
18,Outfluenza,Best Domain Name from Domain.com,http://mangohacks2018.devpost.com/submissions/87242-outfluenza
